location_1,email_domain,count
"Nampa, Idaho",gmail.com,107
"Tucson, Arizona",hotmail.com,107
"Alexandria, Virginia",yahoo.com,105
"Fresno, California",yahoo.com,104
"Chicago, Illinois",aol.com,102
"Merced, California",gmail.com,102
"Bridgeport, Connecticut",gmail.com,102
"Gary, Indiana",yahoo.com,101
"Fremont, California",gmail.com,101
"Miami, Florida",live.com,100
"Rochester, New York",gmail.com,99
"Philadelphia, Pennsylvania",aol.com,99
"Santo Domingo, Dominican Republic",hotmail.com,98
"Boca Raton, Florida",gmail.com,98
"Salt Lake City, Utah",hotmail.com,98
"Duluth, Minnesota",gmail.com,96
"Decatur, Illinois",yahoo.com,96
"Naples, Florida",gmail.com,95
"Kansas City, Missouri",gmail.com,95
"Minneapolis, Minnesota",hotmail.com,94
"Richmond, Virginia",yahoo.com,93
"Portland, Oregon",hotmail.com,92
"Birmingham, Alabama",hotmail.com,91
"Pittsburgh, Pennsylvania",gmail.com,91
"Indianapolis, Indiana",hotmail.com,90
"Columbus, Ohio",hotmail.com,89
"Buffalo, New York",gmail.com,88
"Paterson, New Jersey",hotmail.com,88
"Springfield, Illinois",gmail.com,88
"Saint Petersburg, Florida",gmail.com,87
"Fort Lauderdale, Florida",aol.com,87
"Orlando, Florida",aol.com,86
"Nampa, Idaho",yahoo.com,86
"Idaho Falls, Idaho",gmail.com,86
"Hollywood, Florida",gmail.com,86
"Houston, Texas",aol.com,85
"Virginia Beach, Virginia",gmail.com,85
"Stamford, Connecticut",gmail.com,85
"Riverside, California",yahoo.com,84
"Buffalo, New York",yahoo.com,83
"Tacoma, Washington",gmail.com,83
"Las Vegas, Nevada",aol.com,83
"Champaign, Illinois",gmail.com,82
"Arlington, Texas",yahoo.com,82
"Miami Beach, Florida",hotmail.com,82
"Alexandria, Virginia",gmail.com,81
"Queens, New York",aol.com,81
"San Antonio, Texas",live.com,81
"Nashville, Tennessee",hotmail.com,80
"Turlock, California",yahoo.com,80
"Durham, North Carolina",gmail.com,80
"Jersey City, New Jersey",hotmail.com,80
"Charlotte, North Carolina",hotmail.com,79
"Coeur d'Alene, Idaho",gmail.com,79
"Anaheim, California",gmail.com,79
"Denham Springs, Louisiana",yahoo.com,79
"Scottsdale, Arizona",gmail.com,78
"Denver, Colorado",hotmail.com,78
"Santa Monica, California",gmail.com,78
Cincinnati,yahoo.com,77
"Sarasota, Florida",gmail.com,77
"Miami, Florida",yahoo.es,77
"Arlington, Virginia",gmail.com,76
"Silver Spring, Maryland",gmail.com,76
"Reno, Nevada",gmail.com,75
"Honolulu, Hawaii",gmail.com,75
"Berkeley, California",gmail.com,75
Hyderabad,gmail.com,74
"Seattle, Washington",comcast.net,74
"Brownsville, Texas",hotmail.com,74
"Hammond, Indiana",yahoo.com,73
"Naples, Florida",yahoo.com,73
"Hollywood, Florida",yahoo.com,73
"Brownsville, Texas",yahoo.com,73
"Merced, California",yahoo.com,72
"Houston, Texas",live.com,72
"Pocatello, Idaho",gmail.com,72
"Boca Raton, Florida",yahoo.com,72
"Fort Myers, Florida",gmail.com,71
"Manteca, California",yahoo.com,71
"Raleigh, North Carolina",hotmail.com,70
"Tulsa, Oklahoma",gmail.com,70
"Laredo, Texas",gmail.com,70
"Santa Ana, California",gmail.com,70
"Kansas City, Missouri",yahoo.com,69
"Tracy, California",yahoo.com,69
"Waterbury, Connecticut",gmail.com,69
"Los Angeles, California",sbcglobal.net,69
"Madison, Wisconsin",gmail.com,68
"Boca Raton, Florida",hotmail.com,68
"Baton Rouge, Louisiana",hotmail.com,68
"San Antonio, Texas",sbcglobal.net,68
"Santa Ana, California",yahoo.com,68
"Plano, Texas",gmail.com,68
"San Jose, California",yahoo.com,68
"Mountain View, California",gmail.com,67
"Los Angeles, California",live.com,67
"Virginia Beach, Virginia",yahoo.com,66
"Louisville, Kentucky",gmail.com,66
"Twin Falls, Idaho",yahoo.com,66
"Twin Falls, Idaho",gmail.com,66
"San Antonio, Texas",satx.rr.com,66
"Houston, Texas",sbcglobal.net,65
"Newport Beach, California",gmail.com,65
"McAllen, Texas",yahoo.com,65
"Columbia, South Carolina",yahoo.com,65
"Manhattan, New York",hotmail.com,65
"Manhattan, New York",yahoo.com,65
"Champaign, Illinois",yahoo.com,64
"Sunnyvale, California",gmail.com,64
"Miami, Florida",bellsouth.net,64
"Miami Beach, Florida",yahoo.com,64
"Jacksonville, Florida",hotmail.com,63
"Duluth, Minnesota",yahoo.com,63
"Bellevue, Washington",gmail.com,63
"Lodi, California",gmail.com,63
"Tijuana, Baja California",hotmail.com,63
"Baltimore, Maryland",hotmail.com,62
"Arlington, Texas",gmail.com,62
"Greenville, South Carolina",gmail.com,62
"Denham Springs, Louisiana",gmail.com,62
"Charleston, South Carolina",gmail.com,61
"Waukegan, Illinois",yahoo.com,61
"Atlanta, Georgia",aol.com,61
"Santa Barbara, California",gmail.com,61
"Bakersfield, California",hotmail.com,61
"Columbia, South Carolina",gmail.com,61
"Albuquerque, New Mexico",yahoo.com,61
"New Orleans, Louisiana",hotmail.com,60
"Seattle, Washington",live.com,60
"Stockton, California",hotmail.com,60
"Tempe, Arizona",gmail.com,60
"Fairfax, Virginia",gmail.com,60
"Elizabeth, New Jersey",hotmail.com,60
"Grand Rapids, Michigan",gmail.com,60
"Staten Island, New York",gmail.com,60
"Cambridge, Massachusetts",gmail.com,60
"Jasper, Alabama",yahoo.com,59
"Chicago, Illinois",sbcglobal.net,59
"Saint Paul, Minnesota",gmail.com,59
"Hialeah, Florida",yahoo.com,59
"Stamford, Connecticut",yahoo.com,59
"Turlock, California",gmail.com,59
"Silver Spring, Maryland",yahoo.com,58
"Hartford, Connecticut",yahoo.com,58
"San Bernardino, California",yahoo.com,58
"McAllen, Texas",gmail.com,58
"Tulsa, Oklahoma",yahoo.com,58
"Pembroke Pines, Florida",gmail.com,58
"New York, New York",msn.com,58
"Tacoma, Washington",yahoo.com,58
"Louisville, Kentucky",yahoo.com,57
"Caldwell, Idaho",gmail.com,57
"San Antonio, Texas",ymail.com,57
"Sacramento, California",hotmail.com,57
"Meridian, Idaho",gmail.com,57
"Irvine, California",yahoo.com,57
"San Diego, California",aol.com,57
"Edinburg, Texas",yahoo.com,57
"Hollywood, Florida",hotmail.com,57
"Lodi, California",yahoo.com,57
"Paterson, New Jersey",gmail.com,56
"Laredo, Texas",yahoo.com,56
"Rochester, New York",yahoo.com,56
"Pittsburgh, Pennsylvania",yahoo.com,56
"Elizabeth, New Jersey",gmail.com,56
"Mission, Texas",yahoo.com,56
"Lancaster, California",gmail.com,55
"Knoxville, Tennessee",gmail.com,55
"Ann Arbor, Michigan",gmail.com,55
"Alexandria, Virginia",hotmail.com,55
"Mexico City, Mexico",hotmail.com,55
"Jasper, Alabama",gmail.com,54
"Durham, North Carolina",yahoo.com,54
"Edison, New Jersey",gmail.com,54
"Fort Myers, Florida",yahoo.com,54
"McAllen, Texas",hotmail.com,54
"Bridgeport, Connecticut",hotmail.com,53
"Wichita, Kansas",gmail.com,53
"Staten Island, New York",aol.com,53
"Provo, Utah",gmail.com,53
"Seattle, Washington",aol.com,53
"Saint Petersburg, Florida",yahoo.com,53
"Danbury, Connecticut",hotmail.com,53
"Oklahoma City, Oklahoma",gmail.com,53
"Michigan City, Indiana",yahoo.com,53
"Colorado Springs, Colorado",gmail.com,53
"Katy, Texas",yahoo.com,53
"Milwaukee, Wisconsin",gmail.com,53
"Irving, Texas",gmail.com,52
"Reno, Nevada",yahoo.com,52
"Palmdale, California",yahoo.com,52
"Huntsville, Alabama",gmail.com,52
"Hartford, Connecticut",gmail.com,52
"Caldwell, Idaho",yahoo.com,52
"Hayward, California",yahoo.com,52
"West Palm Beach, Florida",aol.com,52
"North Bergen, New Jersey",hotmail.com,51
"Idaho Falls, Idaho",yahoo.com,51
"Danbury, Connecticut",gmail.com,51
"North Hollywood, California",gmail.com,51
"Paterson, New Jersey",yahoo.com,51
"Lawrence, Massachusetts",hotmail.com,51
"Milwaukee, Wisconsin",yahoo.com,51
"Detroit, Michigan",hotmail.com,50
"Manteca, California",gmail.com,50
"Fort Myers, Florida",hotmail.com,50
"Dearborn, Michigan",yahoo.com,50
"Valparaiso, Indiana",gmail.com,50
"Katy, Texas",gmail.com,50
"Honolulu, Hawaii",yahoo.com,50
"Mesa, Arizona",gmail.com,50
"Gonzales, Louisiana",yahoo.com,50
"Edinburg, Texas",gmail.com,49
"Guatemala City, Guatemala",gmail.com,49
"Bessemer, Alabama",yahoo.com,49
"Huntington Beach, California",gmail.com,49
"Boulder, Colorado",gmail.com,49
"Norwalk, Connecticut",yahoo.com,49
"Modesto, California",hotmail.com,49
"Pasadena, California",gmail.com,49
"Savannah, Georgia",gmail.com,49
"Coral Springs, Florida",gmail.com,49
"Baton Rouge, Louisiana",aol.com,49
"Killeen, Texas",yahoo.com,49
"Cleveland, Ohio",sbcglobal.net,48
"Fort Worth, Texas",hotmail.com,48
"Gainesville, Florida",gmail.com,48
"Chicago, Illinois",live.com,48
"Pompano Beach, Florida",gmail.com,48
"Fayetteville, North Carolina",yahoo.com,48
"Ceres, California",yahoo.com,48
"Kissimmee, Florida",yahoo.com,48
"Pompano Beach, Florida",yahoo.com,47
"Fremont, California",yahoo.com,47
"Lancaster, California",yahoo.com,47
"Omaha, Nebraska",gmail.com,47
"Los Angeles, California",ymail.com,47
"Boston, Massachusetts",aol.com,47
